HDIM,Plot,Date,Collector,Method,CanopyMalaiseHeight_InFeet,CanopyMalaisePosition,PitFallSlice,Plant,BeatingDuration_InSeconds,TimeBegin,TimeEnd
6439,kaiholenaYng_10,42236,"C.N, C. Ewing, N. Graham",canopy malaise,,down,,,,,
6440,kaiholenaYng_10,42236,N. Graham,ground malaise,,,,,,,
6441,kaiholenaYng_10,42236,"C.N, C. Ewing, N. Graham",Pitfall,,,B,,,,
6438,kaiholenaYng_10,42236,"C. Ewing, C.N., N. Graham",canopy malaise,,up,,,,,
6443,kaiholenaYng_10,42236,"C. N., C. Ewing, N. Graham",Pitfall,,,F,,,,
6442,kaiholenaYng_10,42236,"C.N., C. Ewing, N. Graham",Pitfall,,,D,,,,
6662,Laup_LSAG15,42290,C. Ewing,Beating,,,,Brown Cibotium,15,0.489583333,0.513888889
6632,Laup_LSAG_07a,42276,C. Ewing,Beating,,,,Brown Cibotium,15,0.503472222,0.083333333
6628,LSAG_Laup_07a,42276,B. Cote,Beating,,,,Green Cibotium,180,0.461805556,0.08125
4227,LSAG_12a,42154,E. Tielens,Branch clipping,,,,Metociterour polymorph,136,0.354166667,0.447916667
6311,Hippnet_08A laupahoehoe,42244,Loreo Loreto,Beating,,,,Brown Cibotium,180,0.378472222,0.46875
6312,Hippnet_08A,42244,B. Cote,Beating,,,,Brown Cibotium,90,0.378472222,0.475694444
6663,LSAG_15,42290,K. Shiroma,Beating,,,,Brown Cibotium,,0.489583333,0.508333333
6493,LSAG_01,42250,K. Shiroma,Beating,,,,Green Cibotium,81,0.354166667,0.386111111
6494,LSAG_01,42250,K. Shiroma,Beating,,,,ie 'ie,68,0.423611111,0.451388889
6661,Laup_LSAG15,42290,K. Shiroma,Beating,,,,,66,0.45,0.482638889
6497,LSAG_01,42250,K. Shiroma,Beating,,,,Brown Cibotium,40,0.395833333,0.414583333
6495,LSAG_01,42250,C. Ewing,Beating,,,,Cheirodendron,14,0.361111111,0.375
6498,LSAG_01,42250,C. ewing,Beating,,,,Ilex,20,0.40625,0.423611111
6500,LSAG_01,42250,C. ewing,Beating,,,,M. lessertiana,10,0.434027778,0.447916667
6513,LSAG_01,42250,C. Ewing,Beating,,,,Low Ferns,27,0.152777778,0.166666667
6496,LSAG_01,42250,C. ewing,Beating,,,,alycra,24,0.378472222,0.399305556
6499,LSAG_01,42250,K. Shiroma,Beating,,,,ie' ie',68,0.423611111,0.451388889
8058,waikamoi_7,42190,N. Graham,Beating,,,,Coprosma montana,52,0.135416667,0.185416667
8060,waikamoi_7,42190,A. Miller,Beating,,,,Coprosma montana,52,,
6341,LSAG_15,42218,C. Ewing,canopy malaise,,up,,,,,
6323,Hippnet05,42213,B. Cote,Beating,,,,Green Cibotium,78,,
6322,HippnetLaupahoehoe,42213,B. Cote,Beating,,,,Green Cibotium,78,0.496527778,0.538194444
6321,Hippnet05Laupahoehoe,42213,L. V.,Beating,,,,Malicope,63,0.534722222,0.076388889
8141,Hippnet06,42213,N. Graham,Beating,,,,Green Cibotium,65,,
4530,Hippnet13,42193,A. Rominger,Beating,,,,Green Cibotium,60,0.479166667,0.506944444
6324,Hippnet05Laupahoehoe,42213,Cuista Man,Beating,,,,Malicope,62,0.045138889,0.076388889
8056,MauiWakamoi,42190,C. Ewing,Beating,,,,Ground Ferns,50,,
4532,Hippnet13,42193,L.Villegas,Beating,,,,Brown Cibotium,35,0.527777778,0.548611111
4534,Hippnet13,42224,A. Rominger,Beating,,,,Brown Cibotium,274,0.534722222,0.552083333
4528,Hippnet13,42224,M. Stark,Beating,,,,Green Cibotium,67,0.458333333,0.506944444
8140,Hippnet06,42213,C. Nicolas,Beating,,,,Green Cibotium,65,,
8139,Hippnet06,42213,K. Shiroma,Beating,,,,Green Cibotium,64,,
8144,Hippnet_06,42213,N. Graham,Beating,,,,Brown Cibotium,33,,
8147,Hippnet_06,42213,N. Graham,Beating,,,,Ground fern,38,,
6557,Hippnet_11,42257,C. Ewing,Ground Malaise,,,,,,,
