HDIM,Plot,Date,Collector,Method,Plant,BeatingDuration,TimeBegin,TimeEnd,DateEnd,CanopyMalaiseHeight..ft.,PitFallSlice,Whereabouts,SamplingRound,NoOfVials,Comments
4000,Olaa_02,12-Feb-15,Tom Fezza,beating-sheet,Cheirodendron trigynum,30,12:20,12:55,,,,,,,
4001,Olaa_02,12-Feb-15,Tom Fezza,beating-sheet,Coprosma sp.,30,1:05,1:30,,,,,,,
4002,Olaa_02,12-Feb-15,Andy Rominger,beating-sheet,Broussaisia arguta,60,2:20,1:20,,,,,,,
4003,Olaa_02,12-Feb-15,Tom Fezza,beating-sheet,Perrottetia sandwicensis,30,1:45,2:15,,,,,,,
4004,Olaa_02,12-Feb-15,Andy Rominger,beating-sheet,Melicope clusiifolia,30,1:45,2:30,,,,,,,
4005,Olaa_02,12-Feb-15,Tom Fezza,beating-sheet,Ilex anomola,30,2:25,3:00,,,,,,,
4006,Olaa_02,12-Feb-15,Andy Rominger,beating-sheet,Broussaisia arguta,30,2:45,3:15,,,,,,,
4007,Olaa_02,12-Feb-15,Tom Fezza,beating-sheet,green Cibotium,60,3:15,4:15,,,,,,,
4008,Olaa_02,12-Feb-15,Andy Rominger,beating-sheet,green Cibotium,60,3:30,4:35,,,,,,,
4009,Olaa_02,12-Feb-15,Curtis Ewing,beating-sheet,brown Cibotium,20,4:20,4:45,,,,,,,
4010,Olaa_02,12-Feb-15,Jun Ying Lim,beating-sheet,brown Cibotium,20,4:20,4:50,,,,,,,
4012,Thurston_01,16-Feb-15,Andy Rominger,beating-sheet,Coprosma ochracea,30,9:00,9:30,,,,,,,
4013,Thurston_01,16-Feb-15,Ellie Armstrong,beating-sheet,Ilex anomola,60,9:00,9:50,,,,,,,
4014,Thurston_01,16-Feb-15,Tom Fezza,beating-sheet,Cheirodendron trigynum,30,9:00,9:25,,,,,,,
4015,Thurston_01,16-Feb-15,Tom Fezza,beating-sheet,Myrsine lessertiana,90,9:40,10:50,,,,,,,
4016,Thurston_01,16-Feb-15,Andy Rominger,beating-sheet,Vaccinium calycinum,30,9:40,10:10,,,,,,,
4017,Thurston_01,16-Feb-15,Andy Rominger,beating-sheet,green Cibotium,60,10:25,11:15,,,,,,,
4018,Thurston_01,16-Feb-15,Ellie Armstrong,beating-sheet,green Cibotium,60,10:15,11:20,,,,,,,
4019,Thurston_01,16-Feb-15,Tom Fezza,beating-sheet,brown Cibotium,20,11:00,11:40,,,,,,,
4020,Thurston_01,16-Feb-15,Andy Rominger,beating-sheet,brown Cibotium,20,11:40,12:00,,,,,,,
4021,Thurston_01,16-Feb-15,Ellie Armstrong,beating-sheet,brown Cibotium,20,11:40,10:10,,,,,,,
4022,Thurston_05,16-Feb-15,Tom Fezza,beating-sheet,Myrsine lessertiana,30,1:05,1:30,,,,,,,
4023,Thurston_05,16-Feb-15,Andy Rominger,beating-sheet,Myrsine lessertiana,60,1:05,1:45,,,,,,,
4024,Thurston_05,16-Feb-15,Ellie Armstrong,beating-sheet,Ilex anomola,90,1:05,2:10,,,,,,,
4025,Thurston_05,16-Feb-15,Andy Rominger,beating-sheet,Vaccinium calycinum,20,2:00,2:15,,,,,,,
4026,Thurston_05,16-Feb-15,Tom Fezza,beating-sheet,Cheirodendron trigynum,20,2:05,2:20,,,,,,,
4027,Thurston_05,16-Feb-15,Ellie Armstrong,beating-sheet,green Cibotium,60,2:20,3:55,,,,,,,
4028,Thurston_05,16-Feb-15,Andy Rominger,beating-sheet,green Cibotium,60,2:30,4:00,,,,,,,
4029,Thurston_05,16-Feb-15,Tom Fezza,beating-sheet,brown Cibotium,60,2:35,4:30,,,,,,,
4030,Thurston_05,16-Feb-15,Tom Fezza,beating-sheet,Coprosma ochracea,20,1:40,2:00,,,,,,,
4031,Olaa_06,17-Feb-15,Curtis Ewing,beating-sheet,green Cibotium,60,7:25,8:10,,,,,,,
4032,Olaa_06,17-Feb-15,Tom Fezza,beating-sheet,green Cibotium,60,7:25,8:15,,,,,,,
4033,Olaa_06,17-Feb-15,Tom Fezza,beating-sheet,Cyrtandra platyphylla,60,8:30,9:20,,,,,,,
4034,Olaa_06,17-Feb-15,Curtis Ewing,beating-sheet,Broussaisia arguta,60,8:30,9:20,,,,,,,
4035,Olaa_06,17-Feb-15,Tom Fezza,beating-sheet,Myrsine lessertiana,60,9:30,10:10,,,,,,,
4036,Olaa_06,17-Feb-15,Curtis Ewing,beating-sheet,Melicope clusiifolia,60,9:40,10:05,,,,,,,
4037,Olaa_06,17-Feb-15,Curtis Ewing,beating-sheet,brown Cibotium,60,10:15,10:55,,,,,,,
4038,Olaa_06,17-Feb-15,Tom Fezza,beating-sheet,Ilex anomola,60,10:25,10:45,,,,,,,
4039,Olaa_06,17-Feb-15,Tom Fezza,beating-sheet,brown Cibotium,60,11:00,11:25,,,,,,,
4040,Olaa_03,17-Feb-15,Curtis Ewing,beating-sheet,Broussaisia arguta,60,12:05,12:40,,,,,,,
4041,Olaa_03,17-Feb-15,Tom Fezza,beating-sheet,Melicope clusiifolia,60,12:10,12:50,,,,,,,
4042,Olaa_03,17-Feb-15,Curtis Ewing,beating-sheet,Melicope clusiifolia,60,1:10,1:35,,,,,,,
4043,Olaa_03,17-Feb-15,Tom Fezza,beating-sheet,Broussaisia arguta,60,1:15,1:40,,,,,,,
4044,Olaa_03,17-Feb-15,Curtis Ewing,beating-sheet,green Cibotium,60,1:50,2:20,,,,,,,
4045,Olaa_03,17-Feb-15,Tom Fezza,beating-sheet,green Cibotium,60,1:50,2:25,,,,,,,
4046,Olaa_03,17-Feb-15,Curtis Ewing,beating-sheet,brown Cibotium,30,2:35,3:00,,,,,,,
4047,Olaa_03,17-Feb-15,Tom Fezza,beating-sheet,brown Cibotium,30,2:35,3:05,,,,,,,
4048,Olaa_12,19-Feb-15,Tom Fezza,beating-sheet,green Cibotium,60,7:30,8:30,,,,,,,
4049,Olaa_12,19-Feb-15,Andy Rominger,beating-sheet,green Cibotium,60,7:30,8:50,,,,,,,
4050,Olaa_12,19-Feb-15,Tom Fezza,beating-sheet,Cyrtandra platyphylla,60,9:00,9:30,,,,,,,
4051,Olaa_12,19-Feb-15,Andy Rominger,beating-sheet,Broussaisia arguta,60,9:10,10:15,,,,,,,
4052,Olaa_12,19-Feb-15,Tom Fezza,beating-sheet,Perrottetia sandwicensis,30,10:00,10:20,,,,,,,
4053,Olaa_12,19-Feb-15,Tom Fezza,beating-sheet,Coprosma sp.,30,10:30,11:00,,,,,,,
4054,Olaa_12,19-Feb-15,Andy Rominger,beating-sheet,Melicope clusiifolia,60,10,30,,,,,,,
4055,Olaa_12,19-Feb-15,Tom Fezza,beating-sheet,brown Cibotium,40,11:10,12:10,,,,,,,
4056,Olaa_12,19-Feb-15,Andy Rominger,beating-sheet,brown Cibotium,20,11:40,12:10,,,,,,,
