"HDIM","Checked","Plot","Date","Collector","Method","Plant","BeatingDuration","TimeBegin","TimeEnd","DateEnd","CanopyMalaiseHeight..ft.","PitFallSlice","Whereabouts","SamplingRound","NoOfVials","Comments","source"
4461,,"thurston_05","7/22/2015","K. Shiroma","beating","brown Cibotium","95","09:40","10:37","","","","Hilgard 220",2,"","","db"
4461,,"alili_15","7/20/2015","K. Gallardo, R. Gillespie, A. Rominger","pitfall","","","","","7/27/2015","","B","NEED TO FIND",2,"1","","db"
4462,,"thurston_05","7/22/2015","C. Nicholas","beating","Machaerina","11","09:40","09:50","","","","Hilgard 220",2,"","","db"
4462,,"alili_15","7/20/2015","K. Gallardo, R. Gillespie, A. Rominger","pitfall","","","","","7/27/2015","","D","NEED TO FIND",2,"1","","db"
4463,,"thurston_05","7/22/2015","C. Nicholas","beating","green Cibotium","90","09:52","10:43","","","","Hilgard 220",2,"","","db"
4463,,"alili_15","7/20/2015","K. Gallardo, R. Gillespie, A. Rominger","pitfall","","","","","7/27/2015","","F","NEED TO FIND",2,"1","","db"
4528,,"hippnet_13","8/12/2015","M. Stark","beating","green Cibotium","67","11:00","12:10","","","","Hilgard 220",2,"","","db"
4528,1,"hippnet_13","8/8/15","M. Stark","Beating","Green Cibotium","67","11:00","12:10","","","","Wellman 220",1,"","","db"
4530,,"hippnet_13","8/12/2015","A. Rominger","beating","green Cibotium","60","11:30","12:10","","","","Hilgard 220",2,"","","db"
4530,1,"hippnet_13","7/8/2015","A. Rominger","Beating","Green Cibotium","60","11:30","12:10","","","","Wellman 220",2,"","","db"
4532,,"hippnet_13","8/12/2015","L. Villegas-Villeza","beating","brown Cibotium","35","12:40","13:10","","","","Hilgard 220",2,"","","db"
4532,1,"hippnet_13","7/8/2015","L.Villegas","Beating","Brown Cibotium","35","12:40","13:10","","","","Wellman 220",2,"","","db"
4534,,"hippnet_13","8/12/2015","A. Rominger","beating","brown Cibotium","27","12:50","13:15","","","","Hilgard 220",2,"","","db"
4534,1,"hippnet_13","8/8/2015","A. Rominger","Beating","Brown Cibotium","274","12:50","13:15","","","","Wellman 220",2,"","","db"
4540,1,"kokee_16","8/20/2015","MS, AR","leaf litter","","","13:15","","","","A","Wellman 220",2,"","","db"
4540,,"kokee_16","8/20/2015","M. Stark, A. Rominger",,"","","","","","","","Hilgard 220",2,"","","db"
4541,1,"kokee_16","8/21/2015","MS, AR","leaf litter","","","13:15","","","","C","Wellman 220",2,"","","db"
4541,,"kokee_16","8/20/2015","M. Stark, A. Rominger",,"","","","13:15","","","","Hilgard 220",2,"","","db"
4542,1,"kokee_16","8/20/2015","MS, AR","leaf litter","","","13:15","","","","E","Wellman 220",2,"","","db"
4542,,"kokee_16","8/20/2015","M. Stark, A. Rominger",,"","","","","","","","Hilgard 220",2,"","","db"
4550,1,"kokee_22","8/21/2015","","leaf litter","","","","","","","","Wellman 220",2,"","","db"
