"HDIM","Plot","Date","Collector","Method","Plant","BeatingDuration","TimeBegin","TimeEnd","DateEnd","CanopyMalaizeHeight","PitFallSlice","Whereabouts"
5671,"Olaa-01","6-Nov-14","CE BC","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5705,"Olaa-12","19-Nov-14","CE TF","Malaise canopy UP","",NA,NA,NA,NA,NA,"","UHH"
5624,"Thurston-01","22-Oct-14","CE TF AM AD","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5625,"Thurston-01","22-Oct-14","CE TF AM AD","Malaise canopy UP","",NA,NA,NA,NA,NA,"","UHH"
5626,"Thurston-01","22-Oct-14","CE TF AM AD","Malaise canopy DN","",NA,NA,NA,NA,NA,"","UHH"
5627,"Thurston-01","22-Oct-14","CE TF AM AD","pitfall trap","",NA,NA,NA,NA,NA,"B","UHH"
5628,"Thurston-01","22-Oct-14","CE TF AM AD","pitfall trap","",NA,NA,NA,NA,NA,"D","UHH"
5629,"Thurston-01","22-Oct-14","CE TF AM AD","pitfall trap","",NA,NA,NA,NA,NA,"F","UHH"
5630,"Thurston-01","22-Oct-14","CE TF AM AD","InsectaZooka","",NA,NA,NA,NA,NA,"A","UHH"
5631,"Thurston-01","22-Oct-14","CE TF AM AD","InsectaZooka","",NA,NA,NA,NA,NA,"C","UHH"
5632,"Thurston-01","22-Oct-14","CE TF AM AD","InsectaZooka","",NA,NA,NA,NA,NA,"E","UHH"
5192,"Thurston-01","12-Aug-14","TF CE","soil extraction","",NA,NA,NA,NA,NA,"A","UHH"
5193,"Thurston-01","12-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"A","BERKELEY"
5194,"Thurston-01","12-Aug-14","TF CE","soil extraction","",NA,NA,NA,NA,NA,"C","BERKELEY"
5195,"Thurston-01","12-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"C","UHH"
5196,"Thurston-01","12-Aug-14","TF CE","soil extraction","",NA,NA,NA,NA,NA,"E","BERKELEY"
5197,"Thurston-01","12-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"E","UHH"
5198,"Thurston-04","12-Aug-14","TF CE","soil extraction","",NA,NA,NA,NA,NA,"A","BERKELEY"
5199,"Thurston-04","12-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"A","UHH"
5200,"Thurston-04","12-Aug-14","TF CE","soil extraction","",NA,NA,NA,NA,NA,"C","BERKELEY"
5201,"Thurston-04","12-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"C","BERKELEY"
5202,"Thurston-04","12-Aug-14","TF CE","soil extraction","",NA,NA,NA,NA,NA,"E","BERKELEY"
5203,"Thurston-04","12-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"E","UHH"
5204,"Thurston-05","12-Aug-14","TF CE","soil extraction","",NA,NA,NA,NA,NA,"A","BERKELEY"
5205,"Thurston-05","12-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"A","UHH"
5206,"Thurston-05","12-Aug-14","TF CE","soil extraction","",NA,NA,NA,NA,NA,"C","BERKELEY"
5207,"Thurston-05","12-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"C","UHH"
5208,"Thurston-05","12-Aug-14","TF CE","soil extraction","",NA,NA,NA,NA,NA,"E","BERKELEY"
5209,"Thurston-05","12-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"E","UHH"
5606,"Thurston-05","22-Oct-14","CE TF AM AD","Malaise canopy UP","",NA,NA,NA,NA,NA,"","UHH"
5607,"Thurston-05","22-Oct-14","CE TF AM AD","Malaise canopy DN","",NA,NA,NA,NA,NA,"","UHH"
5608,"Thurston-05","22-Oct-14","CE TF AM AD","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5174,"Thurston-06","12-Aug-14","TF CE","soil extraction","",NA,NA,NA,NA,NA,"A","BERKELEY"
5175,"Thurston-06","12-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"A","UHH"
5176,"Thurston-06","12-Aug-14","TF CE","soil extraction","",NA,NA,NA,NA,NA,"C","BERKELEY"
5177,"Thurston-06","12-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"C","UHH"
5178,"Thurston-06","12-Aug-14","TF CE","soil extraction","",NA,NA,NA,NA,NA,"E","BERKELEY"
5179,"Thurston-06","12-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"E","UHH"
5602,"Thurston-06","20-Oct-14","AD CE","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5603,"Thurston-06","20-Oct-14","AD CE","Malaise canopy UP","",NA,NA,NA,NA,NA,"","UHH"
5604,"Thurston-06","20-Oct-14","AD CE","Malaise canopy DN","",NA,NA,NA,NA,NA,"","UHH"
5612,"Thurston-06","22-Oct-14","CE TF AM AD","InsectaZooka","",NA,NA,NA,NA,NA,"A","UHH"
5613,"Thurston-06","22-Oct-14","CE TF AM AD","InsectaZooka","",NA,NA,NA,NA,NA,"C","UHH"
5614,"Thurston-06","22-Oct-14","CE TF AM AD","InsectaZooka","",NA,NA,NA,NA,NA,"E","UHH"
5732,"Thurston-06","27-Jan-15","CE","beating","green Cibotium",60,"8:00","9:05",NA,NA,"","UHH"
5733,"Thurston-06","27-Jan-15","TF","beating","green Cibotium",60,"8:00","9:15",NA,NA,"","UHH"
5734,"Thurston-06","27-Jan-15","CE","beating","Ilex anomola",60,"9:15","9:40",NA,NA,"","UHH"
5735,"Thurston-06","27-Jan-15","TF","beating","Cheirodendron trigynum",60,"9:30","10:05",NA,NA,"","UHH"
5736,"Thurston-06","27-Jan-15","CE","beating","Myrsine lessertiana",60,"10:00","10:25",NA,NA,"","UHH"
5737,"Thurston-06","27-Jan-15","CE","beating","brown Cibotium",30,"10:40","11:05",NA,NA,"","UHH"
5738,"Thurston-06","27-Jan-15","TF","beating","brown Cibotium",30,"10:30","11:05",NA,NA,"","UHH"
5739,"Thurston-06","27-Jan-15","TF","beating","Ilex anomola",30,"11:30","11:50",NA,NA,"","UHH"
5740,"Thurston-06","27-Jan-15","CE","beating","Myrsine lessertiana",30,"11:30","11:50",NA,NA,"","UHH"
5180,"Thurston-08","12-Aug-14","TF CE","soil extraction","",NA,NA,NA,NA,NA,"A","BERKELEY"
5181,"Thurston-08","12-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"A","UHH"
5182,"Thurston-08","12-Aug-14","TF CE","soil extraction","",NA,NA,NA,NA,NA,"C","BERKELEY"
5183,"Thurston-08","12-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"C","UHH"
5184,"Thurston-08","12-Aug-14","TF CE","soil extraction","",NA,NA,NA,NA,NA,"E","BERKELEY"
5185,"Thurston-08","12-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"E","UHH"
5599,"Thurston-08","20-Oct-14","AD CE","Malaise ground","",NA,NA,NA,NA,NA,"","UHH"
5600,"Thurston-08","20-Oct-14","AD CE","Malaise canopy UP","",NA,NA,NA,NA,NA,"","UHH"
5601,"Thurston-08","20-Oct-14","AD CE","Malaise canopy DN","",NA,NA,NA,NA,NA,"","UHH"
5609,"Thurston-08","22-Oct-14","CE TF AM AD","pitfall trap","",NA,NA,NA,NA,NA,"B","UHH"
5610,"Thurston-08","22-Oct-14","CE TF AM AD","pitfall trap","",NA,NA,NA,NA,NA,"D","UHH"
5611,"Thurston-08","22-Oct-14","CE TF AM AD","pitfall trap","",NA,NA,NA,NA,NA,"F","UHH"
5742,"Thurston-08","27-Jan-15","CE","beating","green Cibotium",60,"12:30","1:05",NA,NA,"","UHH"
5742,"Thurston-08","27-Jan-15","TF","beating","green Cibotium",60,"12:30","1:10",NA,NA,"","UHH"
5743,"Thurston-08","27-Jan-15","CE","beating","brown Cibotium",30,"1:30","2:40",NA,NA,"","UHH"
5744,"Thurston-08","27-Jan-15","TF","beating","brown Cibotium",30,"1:30","2:40",NA,NA,"","UHH"
5745,"Thurston-08","29-Jan-15","CE","beating","Myrsine lessertiana",60,"8:00","8:35",NA,NA,"","UHH"
5746,"Thurston-08","29-Jan-15","TF","beating","Ilex anomola",60,"8:00","8:50",NA,NA,"","UHH"
5747,"Thurston-08","29-Jan-15","CE","beating","Coprosma ochracea",60,"9:00","9:25",NA,NA,"","UHH"
5748,"Thurston-08","29-Jan-15","TF","beating","Cheirodendron trigynum",60,"9:00","9:30",NA,NA,"","UHH"
5186,"Thurston-12","12-Aug-14","TF CE","soil extraction","",NA,NA,NA,NA,NA,"A","BERKELEY"
5187,"Thurston-12","12-Aug-14","TF CE","litter sifting-Berlese","",NA,NA,NA,NA,NA,"A","UHH"
5188,"Thurston-12","12-Aug-14","TF CE","soil extraction","",NA,NA,NA,NA,NA,"C","BERKELEY"
