"HDIM","Plot","Date","Collector","Method","Plant","BeatingDuration","TimeBegin","TimeEnd","DateEnd","CanopyMalaiseHeight..ft.","PitFallSlice","Whereabouts","SamplingRound","NoOfVials","Comments"
80,"Laup. LSAG_1","8/9/2015","","","","","","","","","","Hilgard 220",NA,"",""
81,"Laup. LSAG_1","8/9/2015","","","","","","","","","","Hilgard 220",NA,"2",""
82,"Laup. LSAG_10","8/9/2015","","","","","","","","","","Hilgard 220",NA,"",""
83,"Laup. LSAG_10","8/9/2015","","","","","","","","","","Hilgard 220",NA,"",""
1620,"Kokee 16","8/25/2015","B. Cote","beating","Ohia","17 sec","15:50","16:15","","","","Hilgard 220",NA,"",""
4103,"Kaiholena-Yng-02","3/7/2015","AR, BC","canopy malaise","","","","","","","up","Hilgard 220",NA,"",""
4105,"Kaiholena-Yng-02","3/7/2014","BC, AR","ground malaise","","","","","","","","Hilgard 220",NA,"",""
4115,"Kaiholena-Yng-10b","3/7/2015","AR,BC","canopy malaise","","","","","","","up","Hilgard 220",NA,"",""
4117,"Kaiholena-Yng-10b","3/7/2015","AR,BC","ground malaise","","","","","","","","Hilgard 220",NA,"",""
4205,"Kaiholena-Yng-10b","5/29/2015","A. Rominger","beating","Green Cibotium","50 sec","10:20","01:30","","","","Hilgard 220",NA,"",""
4206,"Kaiholena-Yng-10b","5/29/2015","L. Guo","beating","Green Cibotium","30 sec","10:00","10:40","","","","Hilgard 220",NA,"",""
4207,"Laup. LSAG_10a","5/29/2015","N. Graham","beating","Melicope","25 sec","10:20","01:30","","","","Hilgard 220",NA,"",""
4208,"Laup. LSAG_10a","5/29/2015","N. Graham","beating","Melicope","50 sec","10:20","01:30","","","","Hilgard 220",NA,"",""
4209,"Kaiholena-Yng-10b","5/29/2015","N. Graham","beating","Melicope","55 sec","10:20","01:30","","","","Hilgard 220",NA,"",""
4211,"Kaiholena-Yng-10b","5/29/2015","A. Rominger","beating","Brown Cibotium","20 sec","10:20","01:30","","","","Hilgard 220",NA,"",""
4212,"Kaiholena-Yng-10b","5/29/2015","N. Graham","beating","Brown Cibotium","40 sec","10:20","01:30","","","","Hilgard 220",NA,"",""
4213,"Kaiholena-Yng-10b","5/29/2015","A. Rominger","beating","Cheirodendron","30 sec","10:20","01:30","","","","Hilgard 220",NA,"",""
4214,"Kaiholena-Yng-10b","5/29/2015","N. Graham","beating","Vaccinium","50 sec","10:20","01:30","","","","Hilgard 220",NA,"",""
4215,"Laup. LSAG_10a","5/29/2015","N. Graham","beating","Green Cibotium","40 sec","10:20","01:30","","","","Hilgard 220",NA,"",""
4216,"Kaiholena-Yng-10b","5/29/2015","N. Graham","beating","Ilex","40 sec","10:20","01:30","","","","Hilgard 220",NA,"",""
4242,"EscapeRd_3802_2","6/4/2015","K. Jayd","beating","Green Dicranopteris","70","09:00","10:25","","","","Hilgard 220",2,"",""
4243,"EscapeRd_3802_2","6/4/2015","E. Tielens","beating","Green Dicranopteris","70","09:00","10:30","","","","Hilgard 220",2,"",""
4244,"EscapeRd_3802_2","6/4/2015","L. Guo","beating","Green Dicranopteris","70","09:00","10:50","","","","Hilgard 220",2,"",""
4245,"EscapeRd_3802_2","6/4/2015","K. Gallardo","beating","Green Dicranopteris","70","09:00","10:35","","","","Hilgard 220",2,"",""
4246,"EscapeRd_3802_2","6/4/2015","L. Stevens","beating","Green Dicranopteris","70","09:00","10:50","","","","",2,"",""
4247,"EscapeRd_3802_2","6/4/2015","E. Tielens","beating","Brown Dicranopteris","35","11:00","11:40","","","","Hilgard 220",2,"",""
4248,"EscapeRd_3802_2","6/4/2015","K. Gallardo","beating","Brown Dicranopteris","35","11:00","11:50","","","","Hilgard 220",2,"",""
4249,"EscapeRd_3802_2","6/4/2015","L. Stevens","beating","Brown Dicranopteris","35","11:15","12:30","","","","",2,"",""
4250,"EscapeRd_3802_2","6/4/2015","L. Guo","beating","Brown Dicranopteris","35","11:20","11:45","","","","Hilgard 220",2,"",""
4251,"Thurston-06","6/12/2015","K. Gallardo","beating","Green Cibotium","36","08:09","08:40","","","","Hilgard 220",2,"","Need Proper Label"
