"","HDIM","Checked","Plot","Date","Collector","Method","Plant","BeatingDuration","TimeBegin","TimeEnd","DateEnd","CanopyMalaiseHeight..ft.","PitFallSlice","Whereabouts","SamplingRound","NoOfVials","Comments","X"
"1",4461,1,"thurston_05","7/21/2015","K. Shiroma","beating","brown Cibotium","95","09:40","10:37","","","","Wellman 220",2,"","duplication issue",""
"2",4461,NA,"alili_15","7/19/2015","K. Gallardo, R. Gillespie, A. Rominger","pitfall","","","","","7/26/11","","B","NEED TO FIND",2,"1","duplication issue",""
"3",4462,1,"thurston_05","7/21/2015","C. Nicholas","beating","Machaerina","11","09:40","09:50","","","","Wellman 220",2,"","duplication issue",""
"4",4462,NA,"alili_15","7/19/2015","K. Gallardo, R. Gillespie, A. Rominger","pitfall","","","","","7/26/11","","D","NEED TO FIND",2,"1","duplication issue",""
"5",4463,NA,"thurston_05","7/21/2015","C. Nicholas","beating","green Cibotium","90","09:52","10:43","","","","Wellman 220",2,"","duplication issue",""
"6",4463,NA,"alili_15","7/19/2015","K. Gallardo, R. Gillespie, A. Rominger","pitfall","","","","","7/26/11","","F","NEED TO FIND",2,"1","duplication issue",""
"7",4528,1,"hippnet_13","8/7/2015","M. Stark","beating","green Cibotium","67","11:00","12:10","","","","Wellman 220",2,"","",""
"8",4530,1,"hippnet_13","8/7/2015","A. Rominger","beating","green Cibotium","60","11:30","12:10","","","","Wellman 220",2,"","",""
"9",4532,1,"hippnet_13","8/7/2015","L. Villegas-Villeza","beating","brown Cibotium","35","12:40","13:10","","","","Wellman 220",2,"","",""
"10",4534,1,"hippnet_13","8/7/2015","A. Rominger","beating","brown Cibotium","27","12:50","13:15","","","","Wellman 220",2,"","",""
"11",4540,1,"kokee_16","8/19/2015","M. Stark, A. Rominger","leaf litter","","","","","","","A","Wellman 220",2,"","",""
"12",4541,1,"kokee_16","8/19/2015","M. Stark, A. Rominger","leaf litter","","","","13:15","","","C","Wellman 220",2,"","",""
"13",4542,1,"kokee_16","8/19/2015","M. Stark, A. Rominger","leaf litter","","","","","","","E","Wellman 220",2,"","",""
"14",4550,1,"kokee_22","8/20/2015","M. Stark, L. Villegas-Villeza","leaf litter","","","","","","","C","Wellman 220",2,"4","",""
"15",4560,1,"kokee_23","8/20/2015","M. Stark, L. Villegas-Villeza","leaf litter","","","","","","","","Wellman 220",2,"","",""
"16",5000,NA,"alili_05","6/30/2014","A. DeMarco, B. Cote","leaf litter","","","","","","","A","UHH",1,"","",""
"17",5001,NA,"alili_05","6/30/2014","A. DeMarco, B. Cote","soil extraction","","","","","","","A","UHH",1,"","",""
"18",5002,NA,"alili_05","6/30/2014","A. DeMarco, B. Cote","leaf litter","","","","","","","C","UHH",1,"","",""
"19",5003,NA,"alili_05","6/30/2014","A. DeMarco, B. Cote","soil extraction","","","","","","","C","UHH",1,"","",""
"20",5004,NA,"alili_05","6/30/2014","A. DeMarco, B. Cote","leaf litter","","","","","","","E","UHH",1,"","",""
"21",5005,NA,"alili_05","6/30/2014","A. DeMarco, B. Cote","soil extraction","","","","","","","E","UHH",1,"","",""
"22",5006,NA,"alili_04","6/30/2014","A. DeMarco, B. Cote","leaf litter","","","","","","","A","UHH",1,"","",""
"23",5007,NA,"alili_04","6/30/2014","A. DeMarco, B. Cote","soil extraction","","","","","","","A","UHH",1,"","",""
"24",5008,NA,"alili_04","6/30/2014","A. DeMarco, B. Cote","leaf litter","","","","","","","C","UHH",1,"","",""
"25",5009,NA,"alili_04","6/30/2014","A. DeMarco, B. Cote","soil extraction","","","","","","","C","UHH",1,"","",""
"26",5010,NA,"alili_04","6/30/2014","A. DeMarco, B. Cote","leaf litter","","","","","","","E","UHH",1,"","",""
"27",5011,NA,"alili_04","6/30/2014","A. DeMarco, B. Cote","soil extraction","","","","","","","E","UHH",1,"","",""
"28",5012,NA,"alili_15","7/2/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","A","UHH",1,"","",""
"29",5013,NA,"alili_15","7/2/2014","A. DeMarco, L. Nakagawa","leaf litter","","","","","","","A","UHH",1,"","",""
"30",5014,NA,"alili_15","7/2/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","C","UHH",1,"","",""
"31",5015,NA,"alili_15","7/2/2014","A. DeMarco, L. Nakagawa","leaf litter","","","","","","","C","Wellman 220",1,"","",""
"32",5016,NA,"alili_15","7/2/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","E","UHH",1,"","",""
"33",5017,NA,"alili_15","7/2/2014","A. DeMarco, L. Nakagawa","leaf litter","","","","","","","E","UHH",1,"","",""
"34",5018,NA,"alili_14","7/2/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","A","Wellman 220",1,"","",""
"35",5019,NA,"alili_14","7/2/2014","A. DeMarco, L. Nakagawa","leaf litter","","","","","","","A","UHH",1,"","",""
"36",5020,NA,"alili_14","7/2/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","C","UHH",1,"","",""
"37",5021,NA,"alili_14","7/2/2014","A. DeMarco, L. Nakagawa","leaf litter","","","","","","","C","UHH",1,"","",""
"38",5022,NA,"alili_14","7/2/2014","A. DeMarco, L. Nakagawa","soil extraction","","","","","","","E","UHH",1,"","",""
"39",5023,NA,"alili_14","7/2/2014","A. DeMarco, L. Nakagawa","leaf litter","","","","","","","E","UHH",1,"","",""
"40",5024,NA,"alili_06","7/6/2014","A. DeMarco, B. Cote","soil extraction","","","","","","","A","UHH",1,"","",""
"41",5025,NA,"alili_06","7/6/2014","A. DeMarco, B. Cote","leaf litter","","","","","","","A","UHH",1,"","",""
"42",5026,NA,"alili_06","7/6/2014","A. DeMarco, B. Cote","soil extraction","","","","","","","C","UHH",1,"","",""
"43",5027,NA,"alili_06","7/6/2014","A. DeMarco, B. Cote","leaf litter","","","","","","","C","UHH",1,"","",""
"44",5028,NA,"alili_06","7/6/2014","A. DeMarco, B. Cote","soil extraction","","","","","","","E","UHH",1,"","",""
"45",5029,NA,"alili_06","7/6/2014","A. DeMarco, B. Cote","leaf litter","","","","","","","E","UHH",1,"","",""
"46",5030,NA,"alili_01","7/6/2014","A. DeMarco, B. Cote","soil extraction","","","","","","","A","UHH",1,"","",""
"47",5031,NA,"alili_01","7/6/2014","A. DeMarco, B. Cote","leaf litter","","","","","","","A","UHH",1,"","",""
"48",5032,NA,"alili_01","7/6/2014","A. DeMarco, B. Cote","soil extraction","","","","","","","C","UHH",1,"","",""
"49",5033,NA,"alili_01","7/6/2014","A. DeMarco, B. Cote","leaf litter","","","","","","","C","UHH",1,"","",""
"50",5034,NA,"alili_01","7/6/2014","A. DeMarco, B. Cote","soil extraction","","","","","","","E","UHH",1,"","",""
"51",5035,NA,"alili_01","7/6/2014","A. DeMarco, B. Cote","leaf litter","","","","","","","E","UHH",1,"","",""
"52",5036,NA,"kaiholenaYng_04","7/7/2014","A. DeMarco, L. Nakagawa, B. Cote","soil extraction","","","","","","","A","Wellman 220",1,"","",""
"53",5037,NA,"kaiholenaYng_04","7/7/2014","A. DeMarco, L. Nakagawa, B. Cote","leaf litter","","","","","","","A","UHH",1,"","",""
"54",5038,NA,"kaiholenaYng_04","7/7/2014","A. DeMarco, L. Nakagawa, B. Cote","soil extraction","","","","","","","C","Wellman 220",1,"","",""
"55",5039,NA,"kaiholenaYng_04","7/7/2014","A. DeMarco, L. Nakagawa, B. Cote","leaf litter","","","","","","","C","UHH",1,"","",""
"56",5040,NA,"kaiholenaYng_04","7/7/2014","A. DeMarco, L. Nakagawa, B. Cote","soil extraction","","","","","","","E","Wellman 220",1,"","",""
"57",5041,NA,"kaiholenaYng_04","7/7/2014","A. DeMarco, L. Nakagawa, B. Cote","leaf litter","","","","","","","E","UHH",1,"","",""
"58",5042,NA,"kaiholenaYng_02","7/7/2014","A. DeMarco, L. Nakagawa, B. Cote","soil extraction","","","","","","","A","Wellman 220",1,"","",""
"59",5043,NA,"kaiholenaYng_02","7/7/2014","A. DeMarco, L. Nakagawa, B. Cote","leaf litter","","","","","","","A","UHH",1,"","",""
"60",5044,NA,"kaiholenaYng_02","7/7/2014","A. DeMarco, L. Nakagawa, B. Cote","soil extraction","","","","","","","C","Wellman 220",1,"","",""
"61",5045,NA,"kaiholenaYng_02","7/7/2014","A. DeMarco, L. Nakagawa, B. Cote","leaf litter","","","","","","","C","UHH",1,"","",""
"62",5046,NA,"kaiholenaYng_02","7/7/2014","A. DeMarco, L. Nakagawa, B. Cote","soil extraction","","","","","","","E","Wellman 220",1,"","",""
"63",5047,NA,"kaiholenaYng_02","7/7/2014","A. DeMarco, L. Nakagawa, B. Cote","leaf litter","","","","","","","E","UHH",1,"","",""
"64",5048,NA,"kaiholenaOld_07","7/7/2014","A. DeMarco, L. Nakagawa, B. Cote","soil extraction","","","","","","","A","Wellman 220",1,"","",""
"65",5049,NA,"kaiholenaOld_07","7/7/2014","A. DeMarco, L. Nakagawa, B. Cote","leaf litter","","","","","","","A","UHH",1,"","",""
"66",5050,NA,"kaiholenaOld_07","7/7/2014","A. DeMarco, L. Nakagawa, B. Cote","soil extraction","","","","","","","C","UHH",1,"","",""
"67",5051,NA,"kaiholenaOld_07","7/7/2014","A. DeMarco, L. Nakagawa, B. Cote","leaf litter","","","","","","","C","UHH",1,"","",""
"68",5052,NA,"kaiholenaOld_07","7/7/2014","A. DeMarco, L. Nakagawa, B. Cote","soil extraction","","","","","","","E","Wellman 220",1,"","",""
