verbatimMethod,correctedMethod
,
canopy malaise,canopy malaise
ground malaise,ground malaise
beating,beating
pitfall,pitfall
pitfall ,pitfall
canopy clipping,canopy clipping
litter E,leaf litter
litter C,leaf litter
litter A,leaf litter
litter,leaf litter
Malaise ground,ground malaise
Malaise canopy UP,canopy malaise
Malaise canopy DN,canopy malaise
pitfall trap,pitfall
InsectaZooka,InsectaZooka
soil extraction,soil extraction
litter sifting-Berlese,
leaf litter E,leaf litter
leaf litter A,leaf litter
leaf litter C,leaf litter
leaf litter B,leaf litter
