verbatimPlant,correctedPlant
,
Green Cibotium,green Cibotium
Melicope,Melicope
Brown Cibotium,brown Cibotium
Cheirodendron,Cheirodendron
Vaccinium,Vaccinium
Ilex,Ilex anomala
Green Dicranopteris,green Dicranopteris linearis
Brown Dicranopteris,brown Dicranopteris linearis
Myrsine,Myrsine
Sadleria,Sadleria
Machaerina,Machaerina
Freycinetia,Freycinetia
Broussaisia,Broussaisia arguta
Coprosma,Coprosma
Hedyotis,Hedyotis
Dryopteris,Dryopteris
Perrotettia,Perrottetia
Rubus,Rubus
Psychotria,Psychotria
Metrosideros,Metrosideros polymorpha
Dicranopteris,Dicranopteris linearis
Ground Cover,ground cover
Lepticophyllum,Styphelia tameiameiae
Perrottetia,Perrottetia
Astelia ,Astelia
Cyrtandra platyphylla,Cyrtandra platyphylla
Astelia,Astelia
Cyrtandra lysiosepala,Cyrtandra lysiosepala
Broussasia,Broussaisia arguta
Cheirodeudron,Cheirodendron
Coprosma montana,Coprosma montana
Perretetia,Perrottetia
Manono,Kadua affinis
brown ribotium,brown Cibotium
Ground Fern,ground fern
Kadua affinis,Kadua affinis
Myrsine lau iki,Myrsine sandwicensis
Coprosma spp.,Coprosma
Myrsine lessertiana,Myrsine lessertiana
Labordia,Labordia
Alyxia,Alyxia
Clermontia,Clermontia
Carex,Carex
Sactelaria,Sadleria
Coprasma,Coprosma
Sadeletia,Sadleria
uluhe,Dicranopteris linearis
Ohia,Metrosideros polymorpha
Melacope,Melicope
low ferns,ground fern
M. clusiifolia,Melicope clusiifolia
Ohelo,Vaccinium
sword fern,sword fern
Leptacophylla,Styphelia tameiameiae
C. ernodeaedes,Coprosma ernodeoides
D. scabra,Dubautia scabra
ground cover,ground cover
Ohelo dentatum,Vaccinium dentatum
Uhule,Dicranopteris linearis
curl leaf,curl leaf
Uluhe,Dicranopteris linearis
White mid,white mid
green Cibotium,green Cibotium
Ilex anomola,Ilex anomala
Cheirodendron trigynum,Cheirodendron trigynum
Myrsine lessertia,Myrsine lessertiana
brown Cibotium,brown Cibotium
Coprosma ochracea,Coprosma ochracea
Broussaisia arguta,Broussaisia arguta
Vaccinium퀌_reticulatum,Vaccinium reticulatum
Dubautia ciliolata,Dubautia ciliolata
Leptecophylla tameiameiae,Styphelia tameiameiae
Coprosma ernodeoides,Coprosma ernodeoides
Nephrolepis cordifolia,Nephrolepis cordifolia
Metrosideros polymorpha,Metrosideros polymorpha
green Dicranopteris linearis,green Dicranopteris linearis
brown Dicranopteris linearis,brown Dicranopteris linearis
Coprosma menzesii,Coprosma menziesii
Pipturus albidus,Pipturus albidus
Myrsine sandwicensis,Myrsine sandwicensis
Melicope clusiifolia,Melicope clusiifolia
MelIcope clusiifolia,Melicope clusiifolia
brown uluhe,brown Dicranopteris linearis
green uluhe,green Dicranopteris linearis
